Pclass,sex,age,fare,survived
3,Male,20,94.67,FALSE
1,Female,80,28.06,FALSE
3,Female,72,33.32,TRUE
1,Female,67,57.76,TRUE
1,Male,70,64.67,TRUE
3,Male,57,67.74,TRUE
2,Male,65,55.96,TRUE
3,Female,21,39.28,TRUE
3,Female,26,26.52,FALSE
2,Male,6,89.31,TRUE
2,Female,31,35.35,TRUE
2,Female,18,82.74,FALSE
2,Female,10,73.91,TRUE
3,Male,62,78.92,FALSE
1,Female,9,50.99,TRUE
2,Female,36,23.2,FALSE
3,Male,28,30.07,FALSE
1,Male,67,20.99,TRUE
2,Female,45,26.67,TRUE
1,Female,43,92.23,TRUE
3,Female,14,4.77,TRUE
1,Male,71,1.74,FALSE
1,Female,69,93.94,FALSE
1,Male,41,52.37,FALSE
3,Male,45,80.76,FALSE
1,Female,79,5.51,FALSE
2,Female,32,95.34,TRUE
1,Male,71,35.04,FALSE
1,Male,65,77.97,FALSE
1,Male,9,94.44,TRUE
1,Male,4,36.61,TRUE
3,Male,50,43.97,TRUE
3,Female,75,83.97,FALSE
1,Female,58,3.12,FALSE
1,Female,38,2.14,FALSE
2,Female,6,65.07,TRUE
3,Female,69,93.4,TRUE
3,Female,67,97.88,FALSE
3,Female,54,26.99,TRUE
1,Female,66,15.19,TRUE
1,Female,58,50.55,TRUE
3,Male,72,77.38,TRUE
3,Male,2,52.58,TRUE
2,Female,44,93.81,TRUE
1,Male,33,52.15,TRUE
3,Female,40,47.01,TRUE
3,Male,4,36.11,FALSE
1,Female,20,66.8,FALSE
1,Female,24,94.02,TRUE
1,Female,33,27.86,FALSE
3,Male,16,95.74,FALSE
2,Female,8,62.44,FALSE
2,Male,9,59.86,FALSE
3,Male,48,76.12,TRUE
2,Female,60,56.86,FALSE
2,Male,5,97.25,FALSE
3,Female,43,74.57,TRUE
3,Male,34,73.82,FALSE
3,Male,67,60.67,FALSE
1,Male,69,68.76,FALSE
3,Female,34,75.01,FALSE
3,Male,17,59.66,FALSE
3,Male,29,91.89,FALSE
3,Female,9,22.41,FALSE
2,Female,39,96.36,TRUE
2,Female,39,67.15,TRUE
3,Female,43,74.61,FALSE
1,Male,42,37.17,FALSE
3,Female,27,17.72,FALSE
2,Female,46,70.99,FALSE
2,Male,42,13.25,TRUE
3,Female,13,88.68,TRUE
2,Female,10,38.46,FALSE
2,Female,56,95.59,FALSE
2,Female,35,19.42,FALSE
1,Female,61,97.64,FALSE
1,Male,61,22.44,TRUE
1,Male,74,73.85,FALSE
2,Female,9,11.29,FALSE
3,Male,55,94.94,TRUE
1,Female,65,24.85,FALSE
3,Male,24,15.67,TRUE
3,Female,40,33.42,FALSE
2,Female,34,22.45,TRUE
1,Male,71,97.97,TRUE
3,Male,54,74.53,TRUE
2,Male,68,75.33,TRUE
2,Female,52,16.64,TRUE
2,Male,32,94.14,FALSE
2,Male,66,18.5,TRUE
3,Female,31,90.46,FALSE
1,Male,7,53.21,FALSE
2,Female,4,31.25,TRUE
2,Female,45,19.82,TRUE
2,Female,40,43.71,TRUE
3,Male,12,58.39,TRUE
3,Female,80,92.86,FALSE
2,Male,44,13.14,FALSE
1,Female,36,16.83,FALSE
1,Female,12,62.7,TRUE
3,Male,51,14.08,TRUE
2,Male,3,94.94,TRUE
2,Male,59,35.98,FALSE
3,Male,42,33.44,TRUE
2,Female,7,23.74,FALSE
3,Female,3,62.59,FALSE
3,Female,74,25.31,TRUE
3,Female,5,16.92,TRUE
1,Male,28,14.21,FALSE
3,Male,13,82.25,FALSE
1,Male,79,32.38,TRUE
1,Male,20,91.52,FALSE
2,Male,39,16.49,TRUE
3,Male,9,11.49,FALSE
2,Male,43,12.32,FALSE
1,Female,80,43.73,TRUE
1,Male,16,81.66,TRUE
1,Male,7,72.35,FALSE
3,Male,6,64.61,FALSE
1,Male,31,29.26,TRUE
3,Male,64,66.99,FALSE
2,Female,21,43.54,TRUE
3,Male,44,20.93,FALSE
2,Male,61,53.22,TRUE
1,Male,16,8.45,TRUE
1,Male,71,37.44,TRUE
1,Female,49,68.36,TRUE
1,Female,27,77.44,FALSE
3,Female,43,74.77,TRUE
2,Male,50,47.56,TRUE
1,Female,55,57.62,TRUE
1,Female,35,45.72,TRUE
3,Female,80,30.91,TRUE
1,Female,43,93.71,TRUE
1,Male,41,60.62,TRUE
1,Female,9,22.43,TRUE
3,Female,58,9.35,TRUE
1,Female,22,32.08,FALSE
3,Male,14,35.03,FALSE
2,Female,47,50.23,TRUE
3,Male,5,77.74,FALSE
1,Female,7,14.22,FALSE
2,Male,46,79.41,TRUE
2,Male,3,9.47,TRUE
3,Female,67,3.58,TRUE
2,Male,38,92.34,TRUE
3,Female,56,4.28,FALSE
3,Female,69,46.85,TRUE
3,Female,4,5.29,TRUE
1,Female,76,5.03,TRUE
3,Male,70,84.74,FALSE
3,Male,62,59.1,FALSE
3,Male,66,33.8,FALSE
3,Female,6,98.87,TRUE
2,Female,25,32.17,FALSE
3,Male,29,56.71,FALSE
2,Female,36,25.8,TRUE
2,Female,58,76.35,FALSE
3,Female,78,9.79,TRUE
3,Female,57,39.68,FALSE
1,Male,4,25,TRUE
3,Female,77,33.85,TRUE
2,Female,56,66.18,TRUE
3,Female,49,94.6,TRUE
3,Female,57,78.46,TRUE
1,Male,26,20.91,TRUE
2,Male,57,41.82,TRUE
1,Female,76,47.35,FALSE
2,Female,56,71.62,TRUE
2,Female,36,24.65,TRUE
1,Female,43,99.29,FALSE
1,Female,32,92.01,TRUE
1,Male,54,88.43,TRUE
2,Male,34,95.6,TRUE
1,Female,44,13.89,TRUE
1,Male,55,44.89,TRUE
1,Female,72,47.19,TRUE
3,Female,71,69.04,TRUE
1,Female,31,4.63,FALSE
2,Male,11,80.54,TRUE
3,Male,3,45.04,FALSE
3,Female,10,97.64,TRUE
1,Female,1,65.52,TRUE
1,Female,65,62.56,FALSE
3,Female,24,43.47,TRUE
3,Male,75,98.69,TRUE
1,Female,2,24.17,TRUE
3,Male,3,73.43,TRUE
2,Female,45,12.29,FALSE
3,Female,14,6.82,FALSE
1,Male,18,59.15,TRUE
3,Female,14,39.71,FALSE
2,Female,7,27.9,FALSE
2,Female,22,26.58,FALSE
2,Female,76,1.28,TRUE
2,Male,30,97.15,TRUE
3,Female,48,77.01,TRUE
1,Female,13,5.63,TRUE
2,Female,47,40.28,FALSE
3,Male,41,93.98,FALSE
3,Female,43,52.08,TRUE
1,Male,69,27.92,TRUE
3,Female,45,35.23,FALSE
1,Female,43,15.1,FALSE
2,Female,13,75.27,TRUE
1,Female,34,2.68,FALSE
1,Female,59,83.85,FALSE
1,Female,66,49.53,FALSE
1,Female,38,30.49,TRUE
3,Female,13,31.85,TRUE
1,Male,14,97.37,FALSE
1,Female,24,90.89,TRUE
1,Female,59,43.56,FALSE
1,Male,20,86.01,FALSE
3,Female,65,76.27,FALSE
2,Male,53,84.12,FALSE
1,Male,39,43.23,TRUE
3,Female,62,8.14,FALSE
3,Female,29,67.81,FALSE
3,Male,51,11.8,FALSE
2,Female,67,60.84,FALSE
3,Male,32,83.49,FALSE
1,Female,40,17.71,FALSE
2,Female,46,61.75,TRUE
1,Female,68,58.88,TRUE
2,Female,61,19.08,FALSE
1,Male,25,88.59,TRUE
1,Female,6,8.01,FALSE
1,Male,54,52.22,TRUE
1,Female,51,39.01,FALSE
3,Male,5,87.9,TRUE
3,Male,49,87.37,TRUE
3,Female,1,73.71,FALSE
3,Female,12,69.46,FALSE
1,Male,37,85.41,FALSE
3,Female,41,39.85,FALSE
1,Male,55,18.23,TRUE
3,Female,16,42.67,TRUE
3,Female,58,83.77,FALSE
2,Male,18,50.86,TRUE
3,Male,63,54.2,TRUE
1,Male,60,14.57,TRUE
3,Male,56,64.83,FALSE
1,Male,45,5.44,TRUE
2,Female,76,75.31,TRUE
2,Male,33,87.85,TRUE
3,Female,48,4.03,FALSE
1,Male,69,19.49,TRUE
2,Female,46,64.7,TRUE
1,Male,13,12.86,FALSE
3,Female,71,46.32,TRUE
2,Female,34,13,FALSE
2,Male,52,95.46,TRUE
2,Male,8,83.35,FALSE
3,Male,64,67.23,TRUE
2,Male,15,33.92,FALSE
3,Male,48,84.44,TRUE
2,Male,40,66.51,FALSE
1,Female,59,4.71,FALSE
2,Female,75,12.05,FALSE
1,Female,18,29.02,FALSE
2,Male,45,20.51,FALSE
1,Female,61,31.24,FALSE
2,Male,41,20.47,TRUE
2,Male,58,3.57,FALSE
3,Male,72,56.26,FALSE
3,Male,4,33.19,TRUE
1,Male,21,81.27,FALSE
1,Male,53,66.16,TRUE
2,Male,30,54,TRUE
2,Female,51,7.34,TRUE
1,Female,12,19.35,FALSE
2,Male,71,29.9,FALSE
3,Female,39,65.12,TRUE
3,Male,13,19.92,FALSE
3,Female,40,75.06,TRUE
2,Male,44,41.75,FALSE
2,Female,46,12.21,TRUE
2,Female,63,5.61,FALSE
2,Female,37,8.98,TRUE
2,Male,28,80.12,TRUE
3,Male,18,54.92,FALSE
1,Male,57,6.66,TRUE
2,Female,21,51.22,FALSE
1,Male,35,19.51,FALSE
3,Female,49,40.62,TRUE
2,Male,15,84.22,FALSE
3,Male,2,6.93,FALSE
3,Female,22,49.63,TRUE
1,Female,34,53.24,FALSE
2,Male,56,61.83,FALSE
1,Female,52,99.29,TRUE
3,Female,55,2.71,FALSE
1,Female,80,4.26,FALSE
1,Male,72,73.66,FALSE
1,Female,15,71.83,FALSE
2,Female,5,3.98,TRUE
1,Male,9,4.96,TRUE
3,Male,49,69.67,FALSE
3,Female,70,53.65,FALSE
1,Male,77,95.48,FALSE
2,Male,7,44.78,TRUE
3,Female,5,84.38,FALSE
2,Female,48,1.89,TRUE
2,Female,62,3.6,TRUE
2,Male,46,82.04,FALSE
3,Male,24,42.6,TRUE
3,Female,8,37.28,FALSE
2,Female,46,55.75,FALSE
3,Female,40,50.81,TRUE
1,Female,3,63.01,TRUE
2,Female,44,98.58,FALSE
2,Female,5,71.85,TRUE
2,Female,51,90.22,TRUE
2,Male,59,28.95,TRUE
1,Male,33,12.47,FALSE
3,Female,75,33.36,FALSE
3,Female,69,44.14,TRUE
1,Female,79,7.3,FALSE
1,Female,62,22.31,FALSE
3,Female,53,12.81,FALSE
3,Male,62,51.19,TRUE
2,Male,30,47.38,FALSE
3,Male,8,22.01,FALSE
2,Male,12,48.94,FALSE
1,Male,39,58.01,FALSE
3,Male,62,22.59,TRUE
1,Female,60,19.07,FALSE
1,Female,61,81.29,TRUE
2,Female,77,95.71,TRUE
3,Male,27,50.83,FALSE
3,Male,50,70.28,FALSE
3,Male,9,46.31,TRUE
1,Female,49,39,FALSE
3,Female,35,25.57,TRUE
2,Female,16,95.81,FALSE
2,Female,42,76.31,FALSE
3,Female,2,41.42,FALSE
3,Female,48,94.64,TRUE
2,Male,19,21.59,FALSE
1,Female,63,99.19,FALSE
2,Male,69,53.78,FALSE
3,Male,45,97.03,FALSE
3,Female,39,57.41,TRUE
2,Male,75,56.79,TRUE
1,Male,19,11.51,TRUE
2,Male,53,88.83,TRUE
1,Male,47,66.62,FALSE
1,Female,15,42.13,TRUE
1,Male,77,8.44,FALSE
1,Male,17,87.05,TRUE
2,Female,67,17.4,TRUE
3,Male,79,6.5,FALSE
2,Female,52,45.58,TRUE
1,Male,78,6.12,TRUE
3,Female,20,56.21,TRUE
2,Female,57,55.85,FALSE
1,Male,15,87.99,TRUE
1,Male,33,29.36,TRUE
2,Female,71,33.41,FALSE
3,Female,36,51.04,TRUE
2,Male,29,57.63,FALSE
